acquisition_cost_usd,order_value_usd,satisfaction_score,support_tickets,days_acq_to_order,days_order_to_payment,acquisition_date_year,acquisition_date_month,acquisition_date_dayofweek,order_date_year,order_date_month,order_date_dayofweek,payment_date_year,payment_date_month,payment_date_dayofweek,market_segment_Asia-Pacific,market_segment_Europe,market_segment_Middle East,market_segment_North America,supplier_id_SUP-B,supplier_id_SUP-C,supplier_id_SUP-D,supplier_id_SUP-E,supplier_id_SUP-F,supplier_id_SUP-G,Delay_Probability,Risk_Level,Action,Priority,Owner,SLA_Hours
960,9000,3,1,740,40,2025,4,6,2027,4,4,2027,6,2,False,False,False,False,False,False,False,False,False,True,0.985,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8000,4,2,715,40,2025,4,4,2027,3,5,2027,4,3,False,False,False,False,False,False,False,False,True,False,0.975,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8500,4,2,492,40,2024,11,0,2026,3,2,2026,4,0,False,False,False,False,False,False,False,False,False,False,0.97,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,8000,3,1,542,40,2024,12,4,2026,6,0,2026,7,5,False,False,False,False,False,False,False,False,True,False,0.97,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8500,3,1,851,40,2025,7,1,2027,10,5,2027,12,3,False,False,False,False,False,False,False,True,False,False,0.965,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,9000,3,1,1013,40,2025,10,0,2028,7,5,2028,8,3,False,False,False,False,False,False,False,False,False,False,0.965,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,9000,3,2,126,41,2024,3,3,2024,7,3,2024,9,2,False,False,False,False,False,False,True,False,False,False,0.965,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,9500,3,1,479,40,2024,11,6,2026,2,2,2026,4,0,False,False,False,False,False,False,False,False,False,True,0.965,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,8000,3,1,1125,40,2025,12,2,2029,1,0,2029,3,5,False,False,False,False,True,False,False,False,False,False,0.96,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8000,4,2,268,40,2024,6,3,2025,3,5,2025,4,3,False,False,False,False,False,False,True,False,False,False,0.96,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,8000,3,1,989,40,2025,9,5,2028,6,0,2028,7,5,False,False,False,False,False,True,False,False,False,False,0.96,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,9500,3,1,517,40,2024,11,2,2026,4,1,2026,6,6,False,False,False,False,True,False,False,False,False,False,0.955,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8500,3,1,1076,40,2025,11,5,2028,11,3,2028,12,1,False,False,False,False,False,True,False,False,False,False,0.955,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,9000,3,1,566,40,2024,12,6,2026,7,5,2026,8,3,False,False,False,False,False,False,False,False,False,True,0.955,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,9500,3,1,765,40,2025,5,1,2027,6,3,2027,7,1,False,False,False,False,False,False,False,True,False,False,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8500,3,1,404,40,2024,9,0,2025,10,5,2025,12,3,False,False,False,False,False,False,False,False,False,False,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,6500,3,2,102,40,2024,3,1,2024,6,5,2024,7,3,False,False,False,False,False,False,False,True,False,False,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,8500,4,0,305,40,2024,7,6,2025,5,3,2025,6,1,False,False,False,False,False,False,False,False,False,True,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,9500,3,1,703,40,2025,3,3,2027,2,6,2027,4,4,False,False,False,False,False,False,True,False,False,False,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,7500,3,1,255,40,2024,6,2,2025,2,5,2025,4,3,False,False,False,False,True,False,False,False,False,False,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,8000,4,0,752,40,2025,4,0,2027,5,3,2027,6,1,False,False,False,False,False,False,False,False,False,False,0.95,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,8000,3,1,1039,40,2025,10,2,2028,9,5,2028,10,3,False,False,False,False,True,False,False,False,False,False,0.945,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,7000,4,0,467,40,2024,10,5,2026,2,3,2026,3,1,False,False,False,False,False,True,False,False,False,False,0.945,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8500,3,1,628,40,2025,2,4,2026,10,2,2026,12,0,False,False,False,False,False,False,False,False,True,False,0.945,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,8500,3,1,952,40,2025,9,2,2028,4,2,2028,5,0,False,False,False,False,True,False,False,False,False,False,0.945,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,7500,4,2,964,40,2025,9,3,2028,5,1,2028,6,6,False,False,False,False,False,False,True,False,False,False,0.945,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,9500,4,0,417,40,2024,9,1,2025,11,5,2025,12,3,False,False,False,False,False,False,False,True,False,False,0.945,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,7500,4,0,441,41,2024,10,3,2025,12,3,2026,2,2,False,False,False,False,False,False,True,False,False,False,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,6500,4,0,217,40,2024,5,6,2024,12,6,2025,1,4,False,False,False,False,False,False,False,False,False,True,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,8000,3,1,653,40,2025,2,6,2026,12,1,2027,1,6,False,False,False,False,False,False,False,False,False,True,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
950,7500,3,2,152,40,2024,4,5,2024,9,3,2024,10,1,False,False,False,False,False,True,False,False,False,False,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,7000,4,0,529,40,2024,12,3,2026,5,0,2026,6,5,False,False,False,False,False,False,True,False,False,False,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,6500,3,1,293,40,2024,7,5,2025,4,4,2025,6,2,False,False,False,False,False,True,False,False,False,False,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,9500,4,0,554,40,2024,12,5,2026,6,6,2026,8,4,False,False,False,False,False,True,False,False,False,False,0.94,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8500,4,2,827,40,2025,6,6,2027,9,0,2027,10,5,False,False,False,False,False,False,False,False,False,True,0.935,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,9500,3,1,901,40,2025,8,5,2028,1,3,2028,2,1,False,False,False,False,False,True,False,False,False,False,0.935,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,7000,3,1,789,40,2025,5,3,2027,7,1,2027,8,6,False,False,False,False,False,False,True,False,False,False,0.935,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,7500,4,0,1088,40,2025,11,6,2028,11,2,2029,1,0,False,False,False,False,False,False,False,False,False,True,0.93,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,9000,4,0,777,40,2025,5,2,2027,6,2,2027,8,0,False,False,False,False,True,False,False,False,False,False,0.925,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,5000,4,2,164,40,2024,4,6,2024,9,2,2024,11,0,False,False,False,False,False,False,False,False,False,True,0.925,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,7000,4,0,579,40,2025,1,0,2026,8,5,2026,9,3,False,False,False,False,False,False,False,False,False,False,0.925,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8000,4,2,1163,40,2026,1,5,2029,3,6,2029,5,4,False,False,False,False,False,True,False,False,False,False,0.92,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,9500,5,0,281,40,2024,6,4,2025,4,5,2025,5,3,False,False,False,False,False,False,False,False,True,False,0.92,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,7000,4,2,1051,40,2025,11,3,2028,9,4,2028,11,2,False,False,False,False,False,False,True,False,False,False,0.92,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,7500,5,0,728,40,2025,4,5,2027,4,5,2027,5,3,False,False,False,False,False,True,False,False,False,False,0.915,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,7500,4,0,1138,40,2026,1,3,2029,2,0,2029,3,5,False,False,False,False,False,False,True,False,False,False,0.915,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,9000,3,1,1151,40,2026,1,4,2029,3,0,2029,4,5,False,False,False,False,False,False,False,False,True,False,0.915,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,9000,4,0,641,40,2025,2,5,2026,11,2,2026,12,0,False,False,False,False,False,True,False,False,False,False,0.915,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,9500,4,0,864,40,2025,7,2,2027,11,5,2027,12,3,False,False,False,False,True,False,False,False,False,False,0.915,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
